,Per Capita GDP,Life Expectancy,Females in Labor Force,Internet Users,Mobile Cellular Subscriptions,High Tech Exports,Women in National Parliament,Electric Power Consumption,Improved Water Source,Primary Education Enrollment
Moldova,1695.972811,68.63002439,48.94020914,23.39,66.64125769,4.242426639,21.8,2028.229958,78.7,95.16391
Mexico,9578.570562,75.73246341,36.12506417,21.71,65.49948112,15.72923353,23.2,1908.346669,83.9,94.01039
Malta,20895.7805,79.63658537,33.67221014,50.08,91.64440727,50.23138339,8.7,4836.593963,100,79.67272
Mongolia,2138.37674,66.55992683,46.18404525,9.8,66.96882523,,4.2,1424.895785,46.7,
Mozambique,499.8870858,52.15056098,53.93389586,1.56,19.3520095,3.791649384,34.8,429.5741306,33.3,36.17669
Mauritius,7749.318438,72.57073171,36.34585431,21.81,84.46575593,7.244789144,17.1,1881.649775,99.5,96.16868
Namibia,4011.301169,60.18407317,48.2608337,5.329003772,49.83913613,0.917140614,26.9,1582.925392,77.3,82.5632
Niger,358.1914055,56.33729268,30.86000984,0.7,12.8758415,3.842881784,12.4,39.64168688,43.7,66.79499
Norway,96880.50961,80.59268293,47.23493794,90.57,109.0680027,14.84988367,36.1,24866.13431,100,99.4709
Nepal,476.5565582,67.04536585,49.77312108,1.73,16.00035841,,33.2,84.55781675,83.7,
New Zealand,31287.61364,80.35121951,46.60371684,72.03,107.9896947,8.468855488,33.6,9556.317198,100,
Oman,22963.37816,75.45253659,18.68768347,20,124.1303432,0.735322395,0,4968.930517,82.6,
Pakistan,1042.801705,64.59814634,19.74538063,7,52.7038814,1.851171335,22.5,444.1958262,87.6,60.75068
Panama,7008.98825,76.49358537,36.81124965,33.82,110.1806117,1.234267169,16.7,1598.317536,82.7,86.82537
Peru,4244.539661,73.22502439,44.01378747,30.57,73.19257415,2.747279926,29.2,1039.45081,62.1,87.60026
Philippines,1929.132897,67.58078049,38.20728204,6.22,75.37478912,66.30959676,20.5,588.5127116,86.6,75.77984
Poland,13906.2182,75.54390244,44.64049738,53.13,115.0213925,4.316121219,20.2,3725.748778,94.3,97.55776
Portugal,24815.60884,78.52439024,47.0978834,44.13,132.9171729,7.777796863,28.3,4850.837413,99,
Russian Federation,11635.27424,67.84878049,48.91670684,26.83,138.8686388,6.474851,14,6399.684466,88.8,96.146
Saudi Arabia,19436.85716,73.4457561,14.3091152,36,136.5376287,0.461193838,0,6973.380017,97,
El Salvador,3569.335393,71.08078049,40.66757387,10.08,112.9869326,4.290406766,16.7,873.8884238,76.5,76.08341
Slovenia,27501.81752,78.76585366,46.00527633,58,101.1035341,5.820976526,13.3,6920.244039,99.4,99.51372
Sweden,55746.84238,81.1,47.38280762,90,108.4404554,11.19786792,47,14869.34898,100,99.01532
Tunisia,4342.823177,74.30243902,26.87570032,27.53,82.7810914,4.543789716,22.8,1198.772377,86,94.68366
Turkey,10382.31816,73.5007561,27.16151988,34.37,93.54864342,1.61597004,9.1,2425.269166,93.6,91.81307
Tanzania,657.7287434,59.31470732,50.19279994,1.9,30.709868,1.53491819,30.4,84.35106999,45.4,73.91053
Ukraine,3891.037823,68.25146341,48.86534541,11,119.8447225,3.287033721,8.2,3534.357152,95.6,97.7055
Uruguay,9062.290535,76.10107317,44.11148417,39.3,104.7453819,4.593920396,12.1,2586.223362,86,95.17841
United States,48401.42734,78.03902439,45.95019076,74,85.20916517,25.92033217,17,13663.42468,97.3,
"Venezuela, RB",11224.6467,73.4762439,39.13827072,25.88,97.48959044,3.471367674,18.6,3071.802553,75.8,91.80995
Vietnam,1164.612525,74.65309756,48.46493244,23.92,85.69645531,4.789839839,25.8,813.1585656,85.3,
Zambia,1365.721205,53.90563415,46.5392849,5.55,28.41083233,2.543997413,15.2,577.6014617,43.6,53.12214
Zimbabwe,327.1990837,45.8044878,49.10555907,11.4,12.94364591,12.21130897,15.2,575.9713895,68.4,
