,Per Capita GDP,Life Expectancy,Females in Labor Force,Internet Users,Mobile Cellular Subscriptions,High Tech Exports,Women in National Parliament,Electric Power Consumption,Improved Water Source,Primary Education Enrollment
Albania,4370.539647,76.65207317,41.09516917,23.86,58.91235149,3.469615642,7.1,1617.744156,94.4,93.7624
United Arab Emirates,45720.0179,76.3077561,12.49380086,63,137.6413795,3.202785439,22.5,11604.10902,100,
Australia,49628.11513,81.39512195,45.0202327,71.67,102.1940537,10.78836729,26.7,10749.11055,100,
Azerbaijan,5574.603802,70.06395122,48.98741693,17.08,73.75810024,0.923285802,11.4,2040.760435,69,98.42165
Belgium,48424.58927,79.6804878,45.02997507,66,105.283158,7.983861849,35.3,8521.49674,100,93.43951
Bulgaria,7296.122479,72.96341463,45.71782014,39.67,138.9755558,6.553650555,21.7,4674.503151,99.2,93.77744
Bosnia and Herzegovina,4974.662267,75.51197561,36.4448997,34.66,82.33282857,4.143127492,11.9,2919.98253,98.4,
Belarus,6376.173115,70.45609756,48.87159063,23,85.05828031,2.431325923,31.8,3481.738035,99.1,99.50297
Brazil,8706.819142,72.69541463,43.06141039,33.83,78.5549801,11.64693565,9,2198.48369,82.2,
Botswana,5561.89824,60.95858537,47.14823533,6.25,76.83593118,0.566611135,11.1,1501.626635,91.1,92.97212
Canada,46596.33599,80.82536585,46.83697157,76.7,66.20487722,13.60045257,22.1,16459.68647,99,
Switzerland,72119.56087,81.99268293,46.20359781,79.2,116.25028,24.36564513,28.5,8305.923042,100,
Chile,10791.02019,79.64090244,37.23912604,37.3,87.91177733,5.884394185,15,3350.787039,83.5,
Cote d'Ivoire,1257.675582,49.27978049,36.84800354,1.9,57.22349848,11.85987579,8.9,199.1522324,68.3,60.77372
Colombia,5433.706412,72.90717073,40.76924666,25.6,91.61012359,3.723762877,8.4,974.2178797,72.7,
Costa Rica,6736.167819,78.45773171,36.05607828,32.29,41.62122844,39.42621181,36.8,1903.372521,90.7,94.21406
Cyprus,34950.3513,79.02753659,42.88746891,42.31,94.3969347,30.44966444,14.3,4573.773688,100,
Germany,45699.19832,79.73658537,45.23130699,78,126.5575074,13.30471851,32.2,7187.764009,100,
Denmark,64181.99467,78.44634146,46.96180602,85.02,119.3024732,15.57597264,38,6534.12385,100,99.46817
Dominican Republic,4996.942663,72.34231707,39.2390161,20.82,73.95219275,3.738961726,19.7,1352.255712,80.2,
Ecuador,4274.940821,74.66782927,39.10258547,18.8,80.51374955,4.181276173,25,1083.986268,72,
Spain,35578.73619,81.17560976,42.84849594,59.6,109.6808813,5.305988783,36.3,6025.772757,100,99.46529
Estonia,18094.5474,73.77073171,48.6267263,70.58,124.2110004,5.401508192,20.8,6364.56783,98.3,98.37865
Finland,53401.31487,79.56829268,47.7456111,83.67,128.424569,17.20822721,41.5,16349.79794,100,99.50347
France,45413.06571,81.21463415,46.71258835,70.68,92.67718212,19.97045065,18.2,7646.21478,100,
United Kingdom,45195.15693,79.6,45.70788309,78.39,122.1864624,18.463453,19.5,6015.726861,100,
Ghana,1234.0799,60.03041463,49.82880233,4.27,50.0664665,1.429704729,7.9,266.3532434,71.5,72.23023
Greece,31997.28201,79.93902439,40.73608371,38.2,124.5083602,9.205631135,14.7,5805.192546,99.3,
Guatemala,2774.318063,70.32814634,37.59863191,8.3,109.5274308,4.202769097,12,526.7714524,82.6,78.81249
Hungary,15649.72297,73.70243902,45.32292049,61,121.6811908,23.30431461,11.1,3988.767694,99.7,97.69845
Indonesia,2167.85765,67.76478049,37.84680681,7.917479385,60.01372486,10.90277203,11.6,570.3244549,74.2,87.86967
India,1022.577592,65.69943902,26.83912828,4.38,29.53103968,6.777733191,9.1,562.9352825,85.5,
Ireland,61189.73248,80.09512195,43.22356069,65.34,116.0047081,25.72634234,13.3,6340.733045,97.4,
Israel,29657.44201,80.95121951,46.56726264,59.39,126.3854986,11.11546355,14.2,7134.002846,100,98.8894
Italy,40640.18465,81.48536585,40.66869222,44.53,150.8856458,6.404881289,21.3,5757.960611,100,99.66056
Japan,37865.61803,82.58756098,41.54471563,75.4,86.70710553,17.3143381,9.4,8052.575685,100,99.98383
Kazakhstan,8513.564645,67.02195122,49.56238391,11,95.77525322,21.92647685,15.9,4689.166773,86.8,98.94902
Kyrgyz Republic,966.3936272,68.45121951,42.6848137,15.7,65.30377271,3.045207635,25.6,1378.720364,78.1,96.22084
Kuwait,54484.30051,73.90314634,25.86482218,42,55.50663695,0.299238502,3.1,16720.94304,99,
Lebanon,7015.605178,77.93917073,22.16961803,22.53,34.08910658,2.440315858,4.7,2967.594453,95.3,91.83391
Sri Lanka,2054.489192,74.23873171,33.83820936,5.8,54.18660423,1.862545361,5.8,429.9843569,86.9,
Lithuania,14961.56818,71.81219512,49.57713198,55.22,159.7881851,11.14479194,17.7,3733.626495,85.9,98.41921
Luxembourg,112851.4601,80.53902439,43.44388286,82.23,145.0821859,6.419478995,23.3,15937.78778,100,
Latvia,16323.76528,72.4195122,49.11357252,63.41,107.4991886,6.953299326,20,3213.12144,96.9,95.53413
Morocco,2905.95268,71.71141463,26.85185697,33.1,73.70564595,5.950363166,10.5,741.5182333,62.6,78.07334
